User Type,Username,Date,Text
,FictionRyu,2012-03-19T04:28Z,"Since there's a decent amount of Seeders, can anyone give a good comment on this?

A:? V:? M:?"
,marc_lucas,2012-03-20T17:51Z,Perfect Bluray & fast download!!!
,YoungStunna,2012-03-22T22:19Z,THANKS looks good
,Pompy1302,2012-04-06T21:02Z,"A=10
V=10
thank you ...gracias"
,francis118,2012-04-29T05:57Z,"Nice and fast download. Superb quality. Thanks.
A: 10
V: 10"
,wangle404,2012-05-14T21:30Z,thnx... 
,Sameh458,2012-06-03T09:14Z,thanks pop i love you so much ;)
