User Type,Username,Date,Text
[H],HeroMaster,2012-09-25T19:27Z,Seed and ENJOY!
,sarajevonovine,2012-09-25T20:50Z,looks like crack is infected with virus win32:vitro
,bazoo.ET,2012-09-26T01:45Z,"HeroMaster any news about when only crack for The Testament of Sherlock Holmes  is out ..

thx for all your uploads"
,Timbo6669,2012-09-26T08:47Z,Hero doesnt reply
,Anroid869,2012-09-26T09:59Z,Cracked exe contains nasty virus according to Avast.
,hopedeny,2012-09-26T13:08Z,"false positive. jesus christ people, really. how many times does it have to be explained that AV programs often give a false positive on game cracks?"
,Timbo6669,2012-09-26T13:33Z,ANROID969- LOL!!! Good one..
,anonymous82882,2012-09-26T23:46Z,"100% of torrents i've downloaded from Heromaster worked so far. so yes, i'll download this even if some say it has a virus in it."
,Timbo6669,2012-09-27T00:14Z,"Yep, HERO gets his stuff straght from steam and unless steam coorrupts your system (with virus' i mean) then there is no way this is infected..You mentioned avast again...that will pick up most .dlls, and cracked  .exes, and even .ini. file extensions..so NO VIRUS...K NEWBIES?"
,wroth91,2012-09-27T07:42Z,"works great, terrible game though XD"
,NOSN,2012-09-28T16:53Z,HD Gameplay: 
