User Type,Username,Date,Text
,Rflcxrz,2012-06-30T19:20Z,A/V: 5/4.
,srmea,2012-06-30T19:45Z,"I am waiting for your 1080p upload dude,,

Thank you so much, my dear friends.....

You are really awesome YIFY Team.....

............'''''''''''.......''''''''''''.............."
[T],FatFreddy473,2012-06-30T22:17Z,@srmea Read the title one more time.
,drunk-mon,2012-07-01T14:27Z,as usual another great quality ul from YIFY.You do set the standards hi for all others.thanx much mon.
,cris11,2012-07-01T23:23Z,ty very much yify.got it at high speed.seeding now
,aritra0123,2012-07-03T03:45Z,please upload 'The Big ban theory Seson 5' nd 'Castle Season 4' ripped..... please please please 
,cubit481,2012-07-03T12:04Z,Yify plz upload avengers if its blu ray is available..thnx
,xAKSHx,2012-07-04T01:01Z,CINAVIA ANY1?
,killyking07,2012-07-04T22:57Z,superb as always a/9 v/10
,killyking07,2012-07-04T22:59Z,Any chance of the lorax?
,UnknownSoldier86,2012-07-15T06:25Z,This is Cinavia protected.
,regie430,2012-07-16T02:30Z,"It's 1920x800, not really 1080p. My HD player reports the facts before playing the movie. But hey! Great one and thank you! Please keep them coming!"
,ivanrlynn,2012-08-05T19:11Z,"@regie430 black letterbox bars are NOT included, you'll just  have to add them yourself :P"
,jesusshockwave,2012-08-09T06:50Z,You Rock YIFY :D
,jesusshockwave,2012-08-17T13:44Z,DOES NOT WORK ON THE PS3 (IT HAS CINAVIA)! Works fine on a computer though. Search Youtube for ways around this audio watermarking or download a different Lockout Movie.
