User Type,Username,Date,Text
,harryfyhr69,2012-08-29T01:10Z,"On the Pirate Bay top 25 
and not a single comment?"
,ShrikeStar,2012-08-29T06:24Z,And that tells you what?...Maybe that the movie sucks and katy Perrys acting is as bad as her singing lol.
,YardBoy,2012-08-29T07:15Z,"Katy Perry sings?  People do more than just watch her?
And she has one dancer in particular who's beyond gorgeous!"
,ironymon,2012-08-29T07:39Z,Whos katy parrot? 
,PyRoX1,2012-08-29T10:03Z,I'm here for the boobs >_>
,msx2013,2012-08-29T12:52Z,thanx 
,WinVery.com,2012-08-29T21:50Z,The fuck is this shit.
,tomatopot,2012-08-30T14:55Z,"@ShrikeStar at 2012-08-29 06:24 CET:
And that tells you what?...Maybe that the movie sucks and katy Perrys acting is as bad as her singing lol.

She doesn't act in it..."
,Subtracting,2012-08-30T20:19Z,Anyone else downloading this just to fap?
,McMada109,2012-08-30T20:40Z,is this worth a download to fap? someone should upload the clip to fap too
,firexninja,2012-08-31T03:01Z,thank you!
,ShrikeStar,2012-08-31T05:15Z,@tomatopot...Thankyou so much for correcting but in all fairness....Who the fuck cares!
,oriole6,2012-08-31T20:11Z,"good copy
A10
V9
M? have not watched yet"
,Deathspanka,2012-09-06T22:22Z,"it should be like this instead
Deathspank 
Part of hand over the fucking ARTIFACT!!!"
,halfash,2012-09-10T18:58Z,Booby Perry
