Filename,Size,Unit
01-wintersun--time_(edit)-oma.mp3,17.68,M
10-orden_ogan--to_the_end_(edit)-oma.mp3,9.43,M
06-tiamat--the_scarred_people_(edit)-oma.mp3,9.17,M
08-mob_rules--cannibal_nation-oma.mp3,8.6,M
02-parkway_drive--dark_days-oma.mp3,8.23,M
09-ill_nino--the_depression-oma.mp3,7.63,M
03-the_sorrow--burial_bridge-oma.mp3,6.9,M
07-destruction--cyanide-oma.mp3,6.49,M
05-doro--rock_till_death-oma.mp3,5.99,M
04-graveyard--endless_night-oma.mp3,5.39,M
00-va--metal_hammer_maximum_metal_vol._178-mag-2012-oma.nfo,10.93,K
00-va--metal_hammer_maximum_metal_vol._178-mag-2012-oma.sfv,468,B
00-va--metal_hammer_maximum_metal_vol._178-mag-2012-oma.m3u,368,B
