Filename,Size,Unit
12 - Hallelujah.flac,57.31,M
11 - Pride And Joy.flac,45.57,M
08 - Turpentine.flac,38.93,M
10 - The Story.flac,32.24,M
03 - Looking Out.flac,31.13,M
07 - Dreams.flac,27.9,M
04 - Before It Breaks.flac,25.76,M
05 - I Will.flac,24.94,M
02 - Sixty Years On.flac,23.13,M
06 - Shadow On The Wall.flac,19.68,M
09 - The Sound Of Silence.flac,16.67,M
01 - Curtain Call.flac,5.86,M
Brandi Carlile - Live at Benaroya Hall with the Seattle symphony.jpg,40.3,K
Brandi Carlile - Live at Benaroya Hall with the Seattle symphony.log,11.18,K
00._Brandi Carlile_-_Live at Benaroya Hall With The Seattle Symphony.nfo,3.72,K
album review.txt,1.39,K
Brandi Carlile - Live at Benaroya Hall with the Seattle symphony.m3u,814,B
