User Type,Username,Date,Text
,aditrajesh11,2012-11-05T22:14Z,In this work? Any comment?
,cbcruz,2012-11-06T00:00Z,"Plenty of crash dumps in this one as well. 

Such a shame... Will probably take some days to sort this out."
[T],Sunblock.,2012-11-06T00:37Z,crash....same here :(
,Yiani,2012-11-06T05:03Z,does this work??? 
,pintokhan,2012-11-06T15:01Z,"Please upload the fury crack on TPB, since I can't download it from the site listed. ""Offers"" don't work for me :("
[T],nosTEAM,2012-11-06T16:01Z,"@ pintokhan   - do not trust in that kind of messages like ""crack here "" ,
- are FAKE and survey required "
,KnightPride,2012-11-06T16:49Z,"nice work even if i'm not a english speaker born, btw isn't it useless to release 30 torrents of this game but still using skidrow buggy crack ?

Every release that will use skidrow will crash aswell.

and BTW FURY crack doesn't even exist ! when you finally find it it's just the skidrow FM2012 crack (yea 2012)"
,kevn123,2012-11-06T17:58Z,can you plz upload farming simulator 2013 
[T],nosTEAM,2012-11-06T22:48Z,"@ KnightPride  - Legit players have crash dump too on this game ,so, is not a crack issue is a game issue - wait for update patch"
,aditrajesh11,2012-11-06T23:39Z,@nosTEAM I have searched the Sport Interactive forum. The legit player are playing fine. There is no complain about crash. I think the problem is with the crack.
,Karabane,2012-11-09T10:10Z,"This shit head crazyboib leaves same comments on every fm2013 on the TPB,he was payed to lie to people,the fury crack don't exist...Fuck off crazyboib"
,weenie100,2012-11-11T12:46Z,"Does not work, crashes all the time when you set up and try to start the new game!!!"
,Herchi,2012-11-25T13:14Z,Skidrow's CRACK = sure crashdump. It doesn't work! no download it...
