Filename,Size,Unit
2008 - Un lugar sonado/CD-1/06 - Penelope espera en Peumayen - Ismael Serrano - Un lugar sonado - 2008.mp3,26.16,M
2000 - Los paraisos desiertos/12 - Ya ves - Los paraisos desiertos - Ismael Serrano - 2000.mp3,22.28,M
2008 - Un lugar sonado/CD-2/01 - Ya ves - Ismael Serrano - Un lugar sonado - 2008.mp3,22.05,M
2008 - Un lugar sonado/CD-2/07 - Vertigo - Ismael Serrano - Un lugar sonado - 2008.mp3,17.86,M
2003 - Principio de incertidumbre/CD-2/10 - Un muerto encierras - Ismael Serrano - Principio de incertidumbre - 2003.mp3,17.65,M
2007 - Suenos de un hombre despierto/12 - Amores imposibles - Ismael Serrano - Suenos De Un Hombre Despierto - 2007.mp3,16.78,M
2003 - Principio de incertidumbre/CD-2/08 - Vertigo - Ismael Serrano - Principio de incertidumbre - 2003.mp3,16.5,M
2003 - Principio de incertidumbre/CD-1/08 - La extrana pareja (con  Lichis) - Ismael Serrano - Principio de incertidumbre - 2003.mp3,15.79,M
2008 - Un lugar sonado/CD-1/05 - Caperucita - Ismael Serrano - Un lugar sonado - 2008.mp3,15.33,M
2003 - Principio de incertidumbre/CD-2/05 - Ahora - Ismael Serrano - Principio de incertidumbre - 2003.mp3,15.15,M
2003 - Principio de incertidumbre/CD-2/06 - Zona cero - Ismael Serrano - Principio de incertidumbre - 2003.mp3,14.91,M
2003 - Principio de incertidumbre/CD-1/10 - Pajaros en la cabeza (con Pedro Guerra) - Ismael Serrano - Principio de incertidumbre - 2003.mp3,14.85,M
2003 - Principio de incertidumbre/CD-2/09 - Tierna y dulce historia de amor - Ismael Serrano - Principio de incertidumbre - 2003.mp3,14.84,M
1997 - Atrapados en azul/02 - Vertigo - Ismael Serrano - Atrapados en azul - 1997.mp3,14.62,M
2008 - Un lugar sonado/CD-2/09 - La extrana pareja - Ismael Serrano - Un lugar sonado - 2008.mp3,14.6,M
1997 - Atrapados en azul/10 - Un muerto encierras - Ismael Serrano - Atrapados en azul - 1997.mp3,14.46,M
2003 - Principio de incertidumbre/CD-1/11 - Amo tanto la vida - Ismael Serrano - Principio de incertidumbre - 2003.mp3,13.95,M
2003 - Principio de incertidumbre/CD-1/01 - Ultimamente - Ismael Serrano - Principio de incertidumbre - 2003.mp3,13.44,M
2003 - Principio de incertidumbre/CD-2/02 - Recuerdo - Ismael Serrano - Principio de incertidumbre - 2003.mp3,13.38,M
2008 - Un lugar sonado/CD-1/01 - Somos - Ismael Serrano - Un lugar sonado - 2008.mp3,13.38,M
2003 - Principio de incertidumbre/CD-1/02 - Principio de incertidumbre - Ismael Serrano - Principio de incertidumbre - 2003.mp3,13.21,M
2000 - Los paraisos desiertos/04 - La cita - Los paraisos desiertos - Ismael Serrano - 2000.mp3,13.15,M
2008 - Un lugar sonado/CD-1/03 - Sucede que a veces - Ismael Serrano - Un lugar sonado - 2008.mp3,13.01,M
2008 - Un lugar sonado/CD-2/02 - Recuerdo - Ismael Serrano - Un lugar sonado - 2008.mp3,12.77,M
2008 - Un lugar sonado/CD-1/04 - Cancion de amor y oficina - Ismael Serrano - Un lugar sonado - 2008.mp3,12.74,M
2007 - Suenos de un hombre despierto/04 - Nana para un nino indigena - Ismael Serrano - Suenos De Un Hombre Despierto - 2007.mp3,12.63,M
2003 - Principio de incertidumbre/CD-1/05 - Ya llego la primavera - Ismael Serrano - Principio de incertidumbre - 2003.mp3,12.6,M
2008 - Un lugar sonado/CD-2/03 - Cancion del amor propio - Ismael Serrano - Un lugar sonado - 2008.mp3,12.57,M
2003 - Principio de incertidumbre/CD-1/04 - Vine del norte - Ismael Serrano - Principio de incertidumbre - 2003.mp3,12.41,M
2008 - Un lugar sonado/CD-1/08 - Vine del norte - Ismael Serrano - Un lugar sonado - 2008.mp3,12.37,M
2000 - Los paraisos desiertos/07 - La huida - Los paraisos desiertos - Ismael Serrano - 2000.mp3,12.31,M
2007 - Suenos de un hombre despierto/03 - Cancion de amor y oficina - Ismael Serrano - Suenos De Un Hombre Despierto - 2007.mp3,12.28,M
1997 - Atrapados en azul/07 - La extrana pareja - Ismael Serrano - Atrapados en azul - 1997.mp3,12.18,M
2007 - Suenos de un hombre despierto/09 - Sesion continua - Ismael Serrano - Suenos De Un Hombre Despierto - 2007.mp3,12.15,M
2003 - Principio de incertidumbre/CD-1/07 - Eres - Ismael Serrano - Principio de incertidumbre - 2003.mp3,12.11,M
2000 - Los paraisos desiertos/01 - Km. 0 - Los paraisos desiertos - Ismael Serrano - 2000.mp3,12.08,M
2002 - La traicion de Wendy/06 - Pajaros en la cabeza - Ismael Serrano - La traicion de Wendy - 2002.mp3,11.96,M
2008 - Un lugar sonado/CD-1/07 - Sesion continua - Ismael Serrano - Un lugar sonado - 2008.mp3,11.83,M
2008 - Un lugar sonado/CD-1/11 - Si se callase el ruido - Ismael Serrano - Un lugar sonado - 2008.mp3,11.78,M
2008 - Un lugar sonado/CD-2/13 - Ya nada es lo que era - Ismael Serrano - Un lugar sonado - 2008.mp3,11.76,M
2008 - Un lugar sonado/CD-2/08 - Casandra - Ismael Serrano - Un lugar sonado - 2008.mp3,11.68,M
2007 - Suenos de un hombre despierto/10 - Si se callase el ruido - Ismael Serrano - Suenos De Un Hombre Despierto - 2007.mp3,11.5,M
2003 - Principio de incertidumbre/CD-1/12 - Plaza Garibaldi - Ismael Serrano - Principio de incertidumbre - 2003.mp3,11.45,M
2008 - Un lugar sonado/CD-1/09 - A las madres de mayo - Ismael Serrano - Un lugar sonado - 2008.mp3,11.43,M
2008 - Un lugar sonado/CD-2/04 - Observando las estrellas - Ismael Serrano - Un lugar sonado - 2008.mp3,11.23,M
2008 - Un lugar sonado/CD-1/02 - Cancion para un viejo amigo - Ismael Serrano - Un lugar sonado - 2008.mp3,11.22,M
1997 - Atrapados en azul/04 - Caperucita - Ismael Serrano - Atrapados en azul - 1997.mp3,11.22,M
2003 - Principio de incertidumbre/CD-2/11 - Prende la luz - Ismael Serrano - Principio de incertidumbre - 2003.mp3,11.16,M
2008 - Un lugar sonado/CD-1/12 - Tantas cosas - Ismael Serrano - Un lugar sonado - 2008.mp3,11.11,M
2005 - Naves ardiendo mas alla de Orion/02 - El virus del miedo - Ismael Serrano - Naves ardiendo mas alla de Orion - 2005.mp3,11.09,M
2000 - Los paraisos desiertos/10 - La ciudad parece un mundo - Los paraisos desiertos - Ismael Serrano - 2000.mp3,11.01,M
2005 - Naves ardiendo mas alla de Orion/04 - Duermes - Ismael Serrano - Naves ardiendo mas alla de Orion - 2005.mp3,10.94,M
2005 - Naves ardiendo mas alla de Orion/08 - Fragilidad - Ismael Serrano - Naves ardiendo mas alla de Orion - 2005.mp3,10.93,M
2003 - Principio de incertidumbre/CD-2/03 - Ya ves (con Aute) - Ismael Serrano - Principio de incertidumbre - 2003.mp3,10.92,M
1997 - Atrapados en azul/11 - Atrapados en azul - Ismael Serrano - Atrapados en azul - 1997.mp3,10.79,M
2005 - Naves ardiendo mas alla de Orion/09 - Alli - Ismael Serrano - Naves ardiendo mas alla de Orion - 2005.mp3,10.63,M
Ismael/Ismael/12.Te debo una cancion.mp3,10.6,M
2007 - Suenos de un hombre despierto/05 - Somos - Ismael Serrano - Suenos De Un Hombre Despierto - 2007.mp3,10.5,M
2003 - Principio de incertidumbre/CD-1/09 - Aquella tarde - Ismael Serrano - Principio de incertidumbre - 2003.mp3,10.48,M
2000 - Los paraisos desiertos/11 - Lo que hay que aguantar - Los paraisos desiertos - Ismael Serrano - 2000.mp3,10.47,M
2005 - Naves ardiendo mas alla de Orion/11 - Jovenes y hermosos - Ismael Serrano - Naves ardiendo mas alla de Orion - 2005.mp3,10.47,M
2005 - Naves ardiendo mas alla de Orion/13 - Dulce memoria - Ismael Serrano - Naves ardiendo mas alla de Orion - 2005.mp3,10.44,M
1998 - La memoria de los peces/03 - Recuerdo - Ismael Serrano - La memoria de los peces - 1998.mp3,10.4,M
2006 - El viaje de Rosetta/CD-2/01 - Vertigo - Ismael Serrano - El Viaje de Rosetta - 2006.mp3,10.34,M
2003 - Principio de incertidumbre/CD-2/13 - A las madres de mayo - Ismael Serrano - Principio de incertidumbre - 2003.mp3,10.26,M
2003 - Principio de incertidumbre/CD-2/04 - Papa cuentame otra vez - Ismael Serrano - Principio de incertidumbre - 2003.mp3,10.25,M
Ismael/Ismael/03.Despierta.mp3,10.16,M
2005 - Naves ardiendo mas alla de Orion/01 - Elegia - Ismael Serrano - Naves ardiendo mas alla de Orion - 2005.mp3,10.15,M
1997 - Atrapados en azul/06 - Amo tanto la vida - Ismael Serrano - Atrapados en azul - 1997.mp3,10.11,M
2000 - Los paraisos desiertos/05 - Tantas cosas - Los paraisos desiertos - Ismael Serrano - 2000.mp3,10.09,M
