User Type,Username,Date,Text
,indeclin3-666,2012-05-28T08:36Z,"PLZ SEED AFTER YOU DOWNLOAD !! 
ENJOY"
,thagoatster,2012-05-28T17:54Z,"@ uploader ... maybe if you could seed it so we can download it in the first place then we could seed it as you requested :-S 
"
,indeclin3-666,2012-05-29T02:11Z,@thagoatster - Ive been seeding since yesterday & will continue till at least 10 people are at 100%
,Zaphod111,2012-05-29T19:45Z,"No one is seeding, to bad."
,Zaphod111,2012-05-29T22:18Z,Stopped at 43 %
,indeclin3-666,2012-05-30T02:18Z,"Im Trying To Initially Seed, But It Doesnt Let Me Seed Past 5kbps :(
Does Anyone Know How To Fix This?"
,indeclin3-666,2012-05-30T05:49Z,"Its o.k now! 
PLEASE SEED AFTER DOWNLOAD :)"
