Filename,Size,Unit
Movie/VIDEO_TS/VTS_01_2.VOB,1024,M
Movie/VIDEO_TS/VTS_01_3.VOB,1024,M
Movie/VIDEO_TS/VTS_01_1.VOB,1024,M
Movie/VIDEO_TS/VTS_01_4.VOB,1024,M
Movie/VIDEO_TS/VTS_01_5.VOB,217.87,M
Movie/VIDEO_TS/VTS_01_0.VOB,119.18,M
Movie/VIDEO_TS/VTS_03_1.VOB,16.22,M
Movie/VIDEO_TS/VTS_02_1.VOB,4.06,M
Cover & Label/Werewolf Hunt front.jpg,512.32,K
Movie/VIDEO_TS/VTS_03_0.VOB,154,K
Movie/VIDEO_TS/VTS_02_0.VOB,154,K
Movie/VIDEO_TS/VIDEO_TS.VOB,154,K
Cover & Label/Werewolf Hunt cd.jpg,122.15,K
Movie/VIDEO_TS/VTS_01_0.IFO,80,K
Movie/VIDEO_TS/VTS_01_0.BUP,80,K
Movie/VIDEO_TS/VTS_03_0.BUP,18,K
Movie/VIDEO_TS/VTS_02_0.BUP,18,K
Movie/VIDEO_TS/VTS_03_0.IFO,18,K
Movie/VIDEO_TS/VTS_02_0.IFO,18,K
Movie/VIDEO_TS/VIDEO_TS.IFO,16,K
Movie/VIDEO_TS/VIDEO_TS.BUP,16,K
INFO TBS/www.black-Sam org     Kom eens Langs !.jpg,13.5,K
INFO TBS/Read.Me.1st.[Movie-Torrentz].txt,2.5,K
INFO TBS/READ THIS FIRST !!  THANKS.nfo,1.42,K
INFO TBS/Torrent_downloaded_from_AhaShare.com.txt,512,B
INFO TBS/Torrent_downloaded_from_www.solotorrents.com.txt,512,B
INFO TBS/Torrent_downloaded_from_Demonoid.com.txt,512,B
INFO TBS/Torrent Downloaded from SilverTorrents.me.txt,512,B
INFO TBS/Black-Sam.txt,512,B
