User Type,Username,Date,Text
,R1ngw0rm,2012-02-18T01:26Z,Excellent work as always.
,bossyboots321,2012-02-18T17:03Z,chattchitto could you please post if you have it (PCDJ KARAOKI)
,LHRRecon,2012-02-24T01:44Z,"hey, great stuff. i was wondering about your website. is it like your private piratebay? if so could i possibly have an accout? thx for uploads =)"
,Kamidora,2012-03-07T17:24Z,"ChattChitto and Thingy are among the best in the business. Torrenting will be poorer w/out them.

Planet master used to belong to this exclusive club but not sure what has happened to him...

Many thanks"
,valiokas9,2012-03-12T15:41Z,"Fantastic, thank you so much.."
