User Type,Username,Date,Text
,deonjnr,2012-11-21T18:46Z,Thank you!!
,caotico69,2012-11-21T18:50Z,Include x1.01? can we apply that patch?
,Protoss01,2012-11-21T19:12Z,"thanks so much kaos!!!!!
i will seed for a long time!

PD: please make a repack for Black ops 2!!!!
im waiting for it to!!!! :)

sorry for my bad english."
,Davlife,2012-11-21T19:23Z,"Dear KaOs, please make repacks of Medal Of Honor: Warfighter and COD: Black Ops 2. 

Thanks in advance."
[V],gansuk,2012-11-21T19:35Z,seems they forgot to put in nfo this already includes update 1.01
,elvistraceur,2012-11-21T22:19Z,Removed only the foreign languages sure?
,hd4250,2012-11-21T23:12Z,"Please upload ""Hitman Absolution"""
,fouad-50,2012-11-21T23:38Z,Please upload hitman and black ops 2
[T],PirateBoy,2012-11-22T03:02Z,"No Medal of Honor: Warfighter from KaOs. Call of Duty BO2 might be done in the future if we get good tools for ripping the game files. For now, it won't be done.

About this game, Update 1.01 is included and Multiplayer is removed."
,booobp,2012-11-22T05:16Z,"Works great, thanks. Super easy to install also."
,genocide44,2012-11-22T07:01Z,"just waiting for the kaos rip of hitman absolution,hope you wont disappoint by not doing it"
,nvatix,2012-11-22T07:25Z,"Please upload Hitman absolution , and COD BO 2
KaOs edition

what is foreign language ?"
,Nazirwa,2012-11-22T07:45Z,Thank you gansuk for sharing this kaos release. Thank you kaos team for taking care of bandwidth starved people like us. :-)
[T],PirateBoy,2012-11-22T08:10Z,"@nvatix


Removed Foreign Languages means all languages other than English are removed."
,Jamvad,2012-11-22T09:45Z,"Nice to see you around buddy. Great rip, works flawlessly as usual. :)

Now waiting for the absolution release from you. "
,karel1992,2012-11-22T18:32Z,SEED SEED SEED PLS
,fouad-50,2012-11-22T23:54Z,please make a repack for Black ops 2
,flapane,2012-11-23T00:07Z,"Not working here (yes I pass all HW requirements).
I rebuilt and unpacked the game in the default c:games location, but AC3SP.exe gives an application fatal error message as soon as I open it (Windows 7 x64). 

error log:
-----------------------------------------------------
Nome dell'applicazione che ha generato l'errore: AC3SP.exe, versione: 0.0.0.0, timestamp: 0x509d6d53
Nome del modulo che ha generato l'errore: ntdll.dll, versione: 6.1.7601.17725, timestamp: 0x4ec49b8f
Codice eccezione: 0xc0000005
Offset errore 0x000222b2
ID processo che ha generato l'errore: 0x114c
Ora di avvio dell'applicazione che ha generato l'errore: 0x01cdc8df171ac2ad
Percorso dell'applicazione che ha generato l'errore: C:GamesAssassins.Creed.III-KaOsAC3SP.exe
Percorso del modulo che ha generato l'errore: C:WindowsSysWOW64ntdll.dll
ID segnalazione: 56697a95-34d2-11e2-8167-0800270070d9

Bucket errato 3262360921, tipo 1
Nome evento: APPCRASH
Risposta: Non disponibile
ID CAB: 0

Firma problema:
P1: AC3SP.exe
P2: 0.0.0.0
P3: 509d6d53
P4: ntdll.dll
P5: 6.1.7601.17725
P6: 4ec49b8f
P7: c0000005
P8: 000222b2
P9:
P10:

File allegati:
C:UsersusernameAppDataLocalTempWER4784.tmp.WERInternalMetadata.xml

I file potrebbero essere disponibili qui:
C:UsersusernameAppDataLocalMicrosoftWindowsWERReportArchiveAppCrash_AC3SP.exe_3d167df1ee68519b10779afa965e7860eb9260d9_102a793d

Simbolo analisi:
Nuova ricerca di soluzioni: 0
ID rapporto: 56697a95-34d2-11e2-8167-0800270070d9
Stato rapporto: 0 "
,ilovekaos,2012-11-23T07:47Z,DEAR GANSUK I AM A FAN OF YOUR TORRENTS I DOWNLOADED ALL YOUR ASSASSIN'S CREED TORRENTS CURRENTLY I AM DOING BORDERLANDS 2 kaos THEN IWILL DO ASSASSIN'S CREED 3 MY SINCERE REQUEST IS WILL U DO MAX PAYNE 3 PLEASE  MY BANDWIDTH IS LOW ND I CANT DOWNLOAD 25 GB SO PLEASE UPLOAD MAX PAYNE 3 thank you 
,karel1992,2012-11-23T19:17Z,KaOs is the best thanks gansuk. 100% working on my win 7 64bit. now Hitman: Absolution made by KaOs uploaded by gansuk :D 
,younowme,2012-11-24T18:52Z,"SEED PPL!!!!!!!!!!!!!!!
I AM UPLOADING AS FAST AS I CAN!!!!!"
,ravi00,2012-11-25T10:51Z,"Thanks, 100% working on my win 7 64bit.. 
next hitman"
,rishi2491,2012-12-01T03:41Z,"game is working a 100% on WIN 7(ulitmate) 64 bit.
thank you so much."
,nyutrig,2012-12-01T04:21Z,hey thak you very much for a lot of the downloads i was sondering if you could do any of the command and conquer games newr ones please and thank you ahead of time if you do
,iko7698,2012-12-02T01:17Z,thanks for seeding will seed :)
,iko7698,2012-12-02T01:18Z,thanks for seeding everyone i will seed :)
