Filename,Size,Unit
Sandra-The_Platinum_Collection/CD1/Sandra - The Platinum Collection (CD 1).mp3,175.69,M
Sandra-The_Platinum_Collection/CD2/Sandra - Platinum Collection.mp3,172.07,M
Sandra-The_Platinum_Collection/CD3/Sandra - The Platinum Collection (CD 3).mp3,168.19,M
Sandra-The_Platinum_Collection/bonus content/audio/Hiroshima_(Extended_Version).mp3,6.52,M
Sandra-The_Platinum_Collection/bonus content/audio/Nights_in_White_Satin_(Club_Mix).mp3,5.44,M
Sandra-The_Platinum_Collection/bonus content/audio/We'll_Be_Together_(Extended_Version).mp3,5.42,M
Sandra-The_Platinum_Collection/bonus content/audio/Secret_Land_'99_(Ultra_Violet_Club_Mix).mp3,5.26,M
Sandra-The_Platinum_Collection/bonus content/audio/Don't_be_Aggressive_(The_Midnight_Hour_Mix).mp3,5.05,M
Sandra-The_Platinum_Collection/scans/Pict0048.jpg,1.62,M
Sandra-The_Platinum_Collection/scans/Pict0050.jpg,1.59,M
Sandra-The_Platinum_Collection/scans/Pict0049.jpg,1.58,M
Sandra-The_Platinum_Collection/scans/Pict0045.jpg,1.52,M
Sandra-The_Platinum_Collection/scans/Pict0046.jpg,1.5,M
Sandra-The_Platinum_Collection/scans/Pict0047.jpg,1.39,M
Sandra-The_Platinum_Collection/bonus content/gallery/big_01.jpg,1.31,M
Sandra-The_Platinum_Collection/scans/Pict0053.jpg,1011.08,K
Sandra-The_Platinum_Collection/scans/Pict0052.jpg,919.36,K
Sandra-The_Platinum_Collection/scans/Pict0054.jpg,912.53,K
Sandra-The_Platinum_Collection/scans/Pict0051.jpg,890.98,K
Sandra-The_Platinum_Collection/bonus content/gallery/big_03.jpg,889.67,K
Sandra-The_Platinum_Collection/bonus content/gallery/big_04.jpg,517.9,K
Sandra-The_Platinum_Collection/bonus content/gallery/big_02.jpg,458.98,K
Sandra-The_Platinum_Collection/bonus content/gallery/big_05.jpg,200.76,K
