Filename,Size,Unit
01 Wally Lopez/01 Wally - Child Game [Quality Madrid; QR 159] Vinyl 1995/B1 Wally - Novennian.mp3,8.39,M
01 Wally Lopez/01 Wally - Child Game [Quality Madrid; QR 159] Vinyl 1995/A1 Wally - Child Game.mp3,7.66,M
01 Wally Lopez/02 Wally - Wally's Groove [Quality Madrid; QR 198] Vinyl 1996/A2 Wally - Groove Fiction.mp3,11.8,M
01 Wally Lopez/02 Wally - Wally's Groove [Quality Madrid; QR 198] Vinyl 1996/B1 Wally - Winzifu Z.mp3,8.37,M
01 Wally Lopez/02 Wally - Wally's Groove [Quality Madrid; QR 198] Vinyl 1996/A1 Wally - Baisakhi.mp3,6.71,M
01 Wally Lopez/03 Wally Lopez - Amman [Weekend Records; WEEK 014] Vinyl 2000/A1 Wally Lopez - Amman (Original Mix).mp3,19.95,M
01 Wally Lopez/03 Wally Lopez - Amman [Weekend Records; WEEK 014] Vinyl 2000/B2 Wally Lopez - Purify My Blood (Original Mix).mp3,10.21,M
01 Wally Lopez/03 Wally Lopez - Amman [Weekend Records; WEEK 014] Vinyl 2000/A2 Wally Lopez - Amman (Break Beat Mix).mp3,9.94,M
01 Wally Lopez/03 Wally Lopez - Amman [Weekend Records; WEEK 014] Vinyl 2000/B1 Wally Lopez - Purify My Blood (Mayorican Soul Remix) [missed].mp3,0,B
01 Wally Lopez/04 Wally Lopez - Triax 250 [Weekend Breaks; WEEEB 006] Vinyl 2000/A1 Wally Lopez - Triax 250 (San Francisco Mouse Remix).mp3,9.53,M
01 Wally Lopez/04 Wally Lopez - Triax 250 [Weekend Breaks; WEEEB 006] Vinyl 2000/B2 Wally Lopez - Do You Know My Name.mp3,7.71,M
01 Wally Lopez/04 Wally Lopez - Triax 250 [Weekend Breaks; WEEEB 006] Vinyl 2000/B1 Wally Lopez - Triax 250 (Original Mix).mp3,6.19,M
01 Wally Lopez/05 Dr. Kucho & Wally Lopez - El Sol & La Luna [Bonus Tracks; BONUS001] Vinyl 2001/B1 Dr. Kucho & Wally Lopez - La Luna.mp3,11.43,M
01 Wally Lopez/05 Dr. Kucho & Wally Lopez - El Sol & La Luna [Bonus Tracks; BONUS001] Vinyl 2001/A2 Dr. Kucho & Wally Lopez - El Sol (Club Mates Goes To The Sun Rmx).mp3,9.89,M
01 Wally Lopez/05 Dr. Kucho & Wally Lopez - El Sol & La Luna [Bonus Tracks; BONUS001] Vinyl 2001/A1 Dr. Kucho & Wally Lopez - El Sol.mp3,9.24,M
01 Wally Lopez/06 Dr Kucho And Wally Lopez - La Luna [City Rockers; ROCKERS02] Vinyl 2001/A1 Dr Kucho And Wally Lopez - La Luna.mp3,19.1,M
01 Wally Lopez/06 Dr Kucho And Wally Lopez - La Luna [City Rockers; ROCKERS02] Vinyl 2001/B1 Dr Kucho And Wally Lopez - La Luna (Rob Mello Mix).mp3,16.16,M
01 Wally Lopez/06 Dr Kucho And Wally Lopez - La Luna [City Rockers; ROCKERS02] Vinyl 2001/B2 Dr Kucho And Wally Lopez - La Luna (Acapella (Carino)).mp3,1.44,M
01 Wally Lopez/07 Wally Lopez & Dr Kucho - Patricia Never Leaves The House [Bugged Out; BUG003] Vinyl 2001/A1 Wally Lopez & Dr Kucho - Patricia Never Leaves The House.mp3,11.78,M
