User Type,Username,Date,Text
,gonadzz,2012-12-15T01:56Z,"seed motherfuckers SEED!!!! 
This shit is going to fucking slow!!!"
,thehoard,2012-12-15T02:21Z,3 hours and still at .6%. Don't forget to seed and share the wealth. The more you seed the faster the download people.
,thehoard,2012-12-15T02:25Z,After all the and it's fake! Do not download!!! It's Fake!
,alanskate,2012-12-15T03:10Z,can someonme confirm if that's is a fake??
,thehoard,2012-12-15T12:24Z,14 hours and it's only downloaded 30% of the file. At this rate it should only take 2 more days to fully download. Sweet!!!
,evansaye,2012-12-15T17:54Z,Pretty fast for the most park. A little frozen up at 54%. Been downloading for about 30 minutes. I'll def. be seeding whenever it finished.
,SkmanG,2012-12-15T18:21Z,"Thanks my G. Pretty Sweet was seeded so well when i torrented it. I'm bummed out most of these skaters don't seed :P haha, nevertheless, stoked."
,evansaye,2012-12-15T18:56Z,Come on guys. Seeeeeeeed. It's been frozen on 55 for about an hour now.
,RxDxPx,2012-12-15T19:51Z,SEEEEDDDD PLEASEEEEEEEEEEEEEEEEEEEEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
,btoskate,2012-12-15T21:17Z,"It's not fake. I've downloaded 56% so far and tested it in MPC, it's the DGK Parental Advisory video."
,spacehead91,2012-12-15T22:57Z,come on man seed it!! i upload 300kb/s  at 62%
,raideo-hed,2012-12-16T01:20Z,"thank jeebus, ive been waiting soo long for this to be posted!"
,thehoard,2012-12-16T02:46Z,"Don't forget to seed this you motherfuckers!!!
 i upload 1.2mb/s and I'm only getting download speeds at 75kb/s. Which is some bullshit!!!"
,thehoard,2012-12-16T02:48Z,It only took 27 hours to download 70%. 
,TwoString,2012-12-16T08:30Z,Why are their only 6 seeders... I've been stuck at 73.6 for 2 hours. Come on ya cunt burgers. S E E D!
,TwoString,2012-12-16T10:00Z,"!WARNING!

This is a protected file. This guy uploaded a file that he bought from itunes. Only five computers that have his password can play this file. DO NOT DOWNLOAD THIS TORRENT. "
,Hyenaxsk8,2012-12-16T15:27Z,"For protected  video or audio files just use this software...
http://www.aimersoft.com.br/drm-media-converter.html"
,RxDxPx,2012-12-16T16:14Z,"SSEEEEEEEEEDDD GUYS COME ON, PLEASE, I ALWAYS SEED, PLEASEEEE PLEASSEEEE DUDES, PLEEASSSEEEE SEEEDDDDD PLEASEEEEEEE SEEEEEDDDDDDDDDD!"
,gonadzz,2012-12-16T17:35Z,"The problem is the uploader itzMitchy. 
This cunt is not seeding.... Why the fuck not?!?"
,btoskate,2012-12-16T17:39Z,Download from skatevideos . in
,GSize,2012-12-16T18:48Z,941 people are bitches
,thehoard,2012-12-16T22:58Z,"Torrent reactor has a better torrent for this video. It took less than a hour to download the video, and you don't have to convert the file after either."
,smity3595,2012-12-21T12:48Z,2 seeders and 300+ leechers? come on! seed! i will seed for aslong i can when i download this. I'm on  77%
,ScumbagKyle,2012-12-23T23:15Z,SEED YOU NEED TO SEED THIS! FUCKK!
,ScumbagKyle,2012-12-23T23:57Z,"Seriously, Seed This SHIT!"
,Negative-Kelvin,2012-12-24T00:25Z,PLEASE SEED!!??
,Mizurov,2012-12-26T19:50Z,If you fucks would SEED I could RE UPLOAD this so there will be a better chance of people seeding... Greedy Bastards..
