User Type,Username,Date,Text
,GP67,2013-01-07T17:13Z,thx a lot not just for this but for all uploads u post u realy help 
,Hannible85,2013-01-07T18:47Z,"Love all your uploads man . . thanks for everything you do !   . . I dont normally request an upload but i would worship you if you could find Fury Max 7 & 8, been tryin like mad to find them"
,unnim2,2013-01-08T04:37Z,thanks mm. as usual great going...
[V],mirrormaster82,2013-01-09T12:06Z,Hannible85 : 7 isn't scanned yet and 8 ( if I'm not mistaken isn't out yet )...
