User Type,Username,Date,Text
,jo3cart3r,2012-04-23T09:16Z,thx 
,oneleggoalie,2012-04-23T09:16Z,Thank you for the post.
,gulphora,2012-04-23T09:57Z,Thanks for uploading!
,tunnelsunshine,2012-04-23T11:05Z,"great download, slower then usual but i dont know if that was this or my internet. otherwise, great download as always from eztv! great episode..god this show is epic :D cant wait for next week! a 9 v 9"
,AkkQ,2012-04-23T16:31Z,"AWESOMEEEEEEEEEEEEE!!!
BEEN WAITING FROM LAST EPISODE OMG!!"
,xooki3,2012-04-23T16:53Z,Thanks for this!! Thanks eztv!!
,ebelenky,2012-04-23T19:53Z,Can someone please send me an invitation to Demonoid? Their registration is closed. Thank you in advance!
,violetlilly3,2012-04-24T08:41Z,thankyou!:)
,legna69,2012-04-24T18:42Z,Awesome Quality Fast Speed
,firexninja,2012-04-25T20:25Z,thank you!
,suecanada,2012-05-10T22:52Z,thank you
