Filename,Size,Unit
01 - Cari amici soldati.flac,13.19,M
02 - Zmagoslavje volje.flac,23.66,M
03 - Jaruzelski.flac,31.06,M
04 - Smrt za smrt.flac,13.68,M
05 - Sila.flac,28.29,M
06 - Dokumenti.flac,31.21,M
07 - Sredi bojev.flac,45.78,M
08 - Panorama 14.flac,3.93,M
09 - Mi kujemo bodocnost.flac,25.69,M
10 - Brat moj.flac,35.91,M
11 - Slovenska zena.flac,26.31,M
12 - Boji.flac,48.13,M
"13 - Ti, ki izzivas.flac",34.57,M
14 - Perspektive.flac,23.58,M
15 - Mars.flac,1.51,M
16 - Vade retro satanas (live).flac,29.83,M
17 - Smrt za smrt (live).flac,47.18,M
cover.jpg,86.56,K
Laibach - Rekapitulacija 1980-84.cue,3.56,K
Laibach - Rekapitulacija 1980-84.log,7.58,K
Laibach - Rekapitulacija 1980-84.m3u,1.01,K
