Filename,Size,Unit
01 - There's a place.flac,24.81,M
02 - You keep me hanging on.flac,24.32,M
03 - Positively 4th street.flac,36.83,M
04 - Mellow Yellow.flac,22.63,M
05 - Ticket to ride.flac,45.05,M
06 - Little wing.flac,39,M
07 - 15 forever.flac,22.31,M
08 - Build me up buttercup.flac,23.85,M
09 - Sweet dreams.flac,24.21,M
10 - Sittin' on the dock of the bay.flac,29.64,M
11 - Fever.flac,23.66,M
12 - Simpathy for the devil.flac,62.29,M
13 - Te recuerdo invierno.flac,15.3,M
Casandra Lange.cue,2.36,K
Casandra Lange.jpg,14.18,K
Charly Garcia - Casandra Lange.log,6.36,K
Charly Garcia - Casandra Lange.m3u,987,B
