User Type,Username,Date,Text
,gh7216,2012-02-17T08:28Z,"THNX YIFY
U R D BEST"
,sufiblade,2012-02-17T08:53Z,I now patiently wait for your releases. Impressive work! keep it up thanks
,lovespiratebay,2012-02-17T08:54Z,Is this .mkv or no?
,amitverma,2012-02-17T08:54Z,"Have been waiting for this from You.
Thanks man!"
[V],YIFY,2012-02-17T09:03Z,"1080p will come too :)
(its mp4, for compatibility with other media players)"
,stonner89,2012-02-17T10:44Z,cheers mate 
,LowLightLee,2012-02-17T11:09Z,"Then I'll w8 for the 1080p ;)
TANX!"
,desmond716877,2012-02-17T13:57Z,thank you very much YIFY... waiting for this movie in 720p..
,desmond716877,2012-02-17T14:00Z,THANX very much YIFY..  waitinf for this movie in 720p..
,marcoaquino33,2012-02-17T14:05Z,"thanks , "
,andrei.92brb,2012-02-17T16:24Z,2 headed shark attack 2012 plssssss
,x5x5x71,2012-02-17T16:33Z,thanks. special thanks for 1080p news.
,iamdnp01,2012-02-17T18:35Z,"Thanx YIFY.. +1.. Had a request Madagascar 3 is coming out later this year, so Please if you could do Madagascar 1 & 2.. thanx a lot..."
,blipoids,2012-02-17T19:39Z,Please someone comment on audio source... 
,stealth_smok3r,2012-02-17T19:53Z,jack and jill 720p please...thx yify!!
,TehAllan,2012-02-18T04:34Z,YIFY please download Jack and Jill and Hugo 
,TehAllan,2012-02-18T04:35Z,YIFY please upload Jack and Jill and Hugo 
,maakusensei,2012-02-18T13:09Z,thanks guys.
,desmond716877,2012-02-18T14:28Z,hey why is upload speed more than download speed????
,x5x5x71,2012-02-18T16:08Z,thanks. special thanks for 1080p
,Picard83,2012-02-18T18:48Z,"Have always enjoyed your movieupload. have almost every one of them in my collection. 
But when I downloaded this one the first thing I noticed were that the sound quality is very poor. I can here mechanical swishes every time in the background and sometimes they become strong and realy innoying. Picture quality is awesome. 
Thanks for upload."
,Gaah_Boom,2012-02-18T20:53Z,"V:10
A:10"
,theeccentrik,2012-02-19T08:51Z,cheers!
,albokid89,2012-02-21T20:19Z,Thank you +1
,L4_M3N4C3,2012-02-23T02:39Z,thanks yifi
,painkilleradnan,2012-03-04T23:05Z,Yify U always Upload best movies in such gr8 Quality...thnxx a lot
,Soozie_Q,2012-03-15T21:13Z,"A10 V10 Perfect copy Yify :-) Many thanks. 
Will you have MI4 Ghost Protocol soon?"
,one9er,2012-03-17T05:15Z,nice
,xevar,2012-03-17T19:05Z,as always...high quality low size masterpiece...thanx
,spiritualiste,2012-04-03T16:27Z,"Thanks a lot for sharing this encode/upload...5*...A10-V10...:yes:
Live Long and Prosper...
Spirit...
:D"
[T],houruoha,2012-04-15T18:50Z,"Thanks 
:)"
,dandalis,2012-04-23T23:17Z,"as always great quality in small size, thank u."
,ksmoker,2012-06-01T08:07Z,Probly got 100 movies from u... thanks... yur #1
,nishu432,2012-07-03T14:12Z,"awesum quality!!
YIFY u always rock!!"
,ipodmonesta,2012-07-15T23:52Z,Thanks YifFyfFyfyfyfy!!!!
